C001-1298,Productos,2023-07-06,DOLARES,CREDITO,Emitida,3.627,3.633,1298,1 DÍAS,30 DÍAS,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1297,Productos,2023-07-06,SOLES,CONTADO,Emitida,3.627,3.633,1297,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1296,Productos,2023-07-06,DOLARES,CREDITO,Emitida,3.627,3.633,1296,1 DÍAS,30 DÍAS,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1295,Productos,2023-07-06,DOLARES,CREDITO,Emitida,3.627,3.633,1295,1 DÍAS,30 DÍAS,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1294,Productos,2023-07-05,SOLES,CONTADO,Generada,3.627,3.633,1294,5 DÍAS,0,1,Entrega según stock,,0,1,0
C001-1293,Productos,2023-07-05,SOLES,CONTADO,Emitida,3.624,3.634,1293,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1292,Productos,2023-07-05,DOLARES,CONTADO,Emitida,3.624,3.634,1292,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1291,Productos,2023-07-05,DOLARES,CONTADO,Emitida,3.624,3.634,1291,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1290,Productos,2023-07-05,DOLARES,CONTADO,Generada,3.624,3.634,1290,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1289,Productos,2023-07-05,SOLES,CREDITO,Emitida,3.628,3.636,1289,1 DÍAS,15 DÍAS,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1288,Productos,2023-07-05,DOLARES,CONTADO,Emitida,3.624,3.634,1288,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1287,Productos,2023-07-05,DOLARES,CONTADO,Emitida,3.624,3.634,1287,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1286,Productos,2023-07-05,DOLARES,CONTADO,Generada,3.624,3.634,1286,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1285,Productos,2023-07-04,DOLARES,CONTADO,Generada,3.621,3.63,1285,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1284,Productos,2023-07-04,DOLARES,CONTADO,Emitida,3.621,3.63,1284,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1283,Productos,2023-07-04,SOLES,CREDITO,Emitida,3.621,3.63,1283,1 DÍAS,60 DÍAS,1,"PRODUCTOS EN STOCK 15 DÍAS HÁBILES LA ENTREGA, PARA FABRICACIÓN DE 20 A 25 DÍAS HÁBILES",23-00969-SC,0,1,0
C001-1282,Productos,2023-07-04,DOLARES,CONTADO,Emitida,3.621,3.63,1282,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1281,Productos,2023-07-04,DOLARES,CONTADO,Generada,3.621,3.63,1281,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1280,Productos,2023-07-04,SOLES,CONTADO,Emitida,3.621,3.63,1280,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1279,Productos,2023-07-03,DOLARES,CONTADO,Generada,3.621,3.63,1279,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1278,Productos,2023-07-03,DOLARES,CONTADO,Generada,3.621,3.63,1278,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1277,Productos,2023-07-03,DOLARES,CONTADO,Generada,3.621,3.63,1277,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1276,Productos,2023-07-03,DOLARES,CONTADO,Generada,3.621,3.63,1276,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1275,Productos,2023-07-03,DOLARES,CONTADO,Emitida,3.624,3.633,1275,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1274,Productos,2023-07-03,SOLES,CREDITO,Emitida,3.628,3.636,1274,1 DÍAS,15 DÍAS,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1273,Productos,2023-07-03,SOLES,CONTADO,Generada,3.624,3.633,1273,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1272,Productos,2023-07-03,DOLARES,CONTADO,Generada,3.624,3.633,1272,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1271,Productos,2023-07-03,DOLARES,CONTADO,Emitida,3.624,3.633,1271,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1270,Productos,2023-07-03,SOLES,CONTADO,Emitida,3.624,3.633,1270,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1269,Productos,2023-07-03,DOLARES,CONTADO,Emitida,3.624,3.633,1269,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1268,Productos,2023-07-03,DOLARES,CONTADO,Emitida,3.624,3.633,1268,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1267,Productos,2023-07-03,DOLARES,CONTADO,Generada,3.624,3.633,1267,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1266,Productos,2023-06-29,SOLES,CREDITO,Emitida,3.628,3.636,1266,7 DIAS,15 DÍAS,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1265,Servicios,2023-06-28,SOLES,CONTADO,Emitida,3.628,3.636,1265,1 DÍAS,0,1,MANTTO PREV. PINTADO E/P KIANA,70057557,0,1,0
C001-1264,Productos,2023-06-28,DOLARES,CONTADO,Generada,3.633,3.64,1264,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1263,Productos,2023-06-28,SOLES,CONTADO,Emitida,3.633,3.64,1263,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1262,Productos,2023-06-28,DOLARES,CONTADO,Emitida,3.633,3.64,1262,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
