CABO MIXTO TORCIDO 1/2 PX,CAMITO12PX,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO MIXTO TORCIDO 3/4 PX,CAMITO34PX,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO MIXTO TORCIDO 5/8 PX,CAMITO58PX,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO MIXTO TORCIDO 7/8 PX,CAMITO78PX,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 1 1/2""",CABMIX04H112,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 1 1/4""",CABMIX04H114,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 1 1/8""",CABMIX04H118,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 1 3/4"" ",CABMIX04H134,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 1 3/8""",CABMIX04H138,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 1""",CABMIX04H100,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 1/2""",CABMIX03H12,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 3/4""",CABMIX03H34,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO MIXTO TORCIDO 5/8,CABMIX03H58,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO MIXTO TORCIDO 7/8""",CABMIX03H78,25111922,CABO,MIXTO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO NYLON,CABNYL,25111922,CABO,,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO NYLON O POLIESTER TORCIDO 3/8,CABNYL03H38,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 1 1/2""",CABNYL04H112,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 1 1/4""",CABNYL04H114,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO PE 5MM VERDE LIMON,CAPE5VELI,25111922,CABO,,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 1 1/8""",CABNYL04H118,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 1 3/4""",CABNYL04H134,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 1 3/8""",CABNYL04H138,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 1 5/8""",CABNYL04H158,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 1""",CABNYL04H100,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 1/2""",CABNYL03H12,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO NYLON TORCIDO 1/4”,CABNYL03H14,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 2""",CABNYL04H200,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 3/4""",CABNYL03H34,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 5/8""",CABNYL03H58,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO NYLON TORCIDO 7/8""",CABNYL03H78,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO NYLON TRENZADO 7/16” ,CABNYLTRN716,25111922,CABO,NYLON,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER TORCIDO 1 1/2"" ALQUITRANADO",CABPLS04H112ALQ,25111922,CABO,POLIESTER ALQUITRANADO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER TORCIDO 1 1/4"" ALQUITRANADO",CABPLS04H114ALQ,25111922,CABO,POLIESTER ALQUITRANADO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 1 1/4 ,CABPEL04H114,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 3MM AZUL,CAPO3AZ,25111922,CABO,,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 3MM VERDE ,CAPO3VE,25111922,CABO,,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 4MM AMARILLO ,CABPEL03H4MMAMA,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 4MM AZUL  ,CABPEL03H4MMAZL,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
